"","ParticipantID","MissingValuesCount","MissingColumns","IsDuplicateRow"
"107","TMS055",8,"fundamental_frequency_mean, fundamental_frequency_variance, intensity_mean_db, medium_pause_duration, speech_rate, sentiment_dominance, sentiment_valence, sentiment_arousal",TRUE
"108","TMS055",8,"fundamental_frequency_mean, fundamental_frequency_variance, intensity_mean_db, medium_pause_duration, speech_rate, sentiment_dominance, sentiment_valence, sentiment_arousal",TRUE
"149","TMS053",8,"fundamental_frequency_mean, fundamental_frequency_variance, intensity_mean_db, medium_pause_duration, speech_rate, sentiment_dominance, sentiment_valence, sentiment_arousal",FALSE
